sequence,Task1,Task2,Task3,Task4,Task5
"(2, 0, 1, 3, 4)",51.48936170212766,94.1234084231146,73.53255069370331,97.38167170191339,99.09228441754917
"(2, 0, 1, 4, 3)",73.71158392434988,93.63369245837414,70.70437566702242,99.79859013091641,96.57085224407463
"(2, 0, 3, 1, 4)",50.780141843971634,98.5798237022527,65.10138740661687,93.05135951661632,99.44528492183561
"(2, 0, 3, 4, 1)",61.938534278959814,99.4613124387855,78.49519743863394,92.04431017119839,96.87342410489158
"(2, 0, 4, 1, 3)",79.29078014184397,96.66993143976494,66.8623265741729,99.54682779456193,91.78013111447302
"(2, 0, 4, 3, 1)",79.19621749408984,99.36336924583742,73.31910352187833,94.91440080563947,96.26828038325769
"(2, 1, 0, 3, 4)",62.74231678486998,93.63369245837414,58.0042689434365,97.53272910372608,99.14271306101865
"(2, 1, 0, 4, 3)",91.48936170212765,91.87071498530852,55.28281750266809,99.64753272910373,98.18456883509833
"(2, 1, 3, 0, 4)",81.60756501182033,94.0254652301665,58.751334044823906,97.93554884189325,99.19314170448816
"(2, 1, 3, 4, 0)",99.90543735224587,82.71302644466209,44.023479188900744,97.07955689828802,93.69641956631366
"(2, 1, 4, 0, 3)",99.14893617021276,88.49167482859941,57.790821771611526,99.64753272910373,96.82299546142208
"(2, 1, 4, 3, 0)",99.90543735224587,75.71008814887365,60.832443970117396,99.34541792547834,83.56026222894604
"(2, 3, 0, 1, 4)",53.90070921985816,97.11067580803135,74.91995731056564,91.44008056394763,99.19314170448816
"(2, 3, 0, 4, 1)",82.78959810874704,99.36336924583742,73.63927427961579,91.33937562940584,97.07513867876955
"(2, 3, 1, 0, 4)",87.51773049645391,97.5024485798237,67.982924226254,95.66968781470293,99.19314170448816
"(2, 3, 1, 4, 0)",99.95271867612293,88.09990205680705,57.84418356456777,94.20946626384693,96.16742309631871
"(2, 3, 4, 0, 1)",97.16312056737588,99.4613124387855,73.10565635005337,92.24572004028198,94.25113464447806
"(2, 3, 4, 1, 0)",99.95271867612293,92.85014691478942,65.63500533617929,91.08761329305136,85.72869389813414
"(2, 4, 0, 1, 3)",96.78486997635933,96.9637610186092,60.565635005336176,99.69788519637463,91.83055975794251
"(2, 4, 0, 3, 1)",87.09219858156028,99.60822722820764,77.5880469583778,96.77744209466263,96.41956631366617
"(2, 4, 1, 0, 3)",97.21040189125296,94.85798237022527,72.57203842049093,99.8489425981873,87.74583963691377
"(2, 4, 1, 3, 0)",99.90543735224587,80.2154750244858,68.08964781216649,99.24471299093656,78.416540595058
"(2, 4, 3, 0, 1)",98.2033096926714,99.80411361410383,82.49733191035219,94.46122860020141,92.28441754916793
"(2, 4, 3, 1, 0)",99.90543735224587,95.10284035259549,73.95944503735325,93.95770392749245,84.06454866364095
"(3, 0, 1, 2, 4)",46.19385342789598,95.20078354554359,86.01921024546425,90.23162134944613,99.04185577407968
"(3, 0, 1, 4, 2)",18.203309692671393,96.27815866797258,99.94663820704376,69.28499496475327,79.82854261220373
"(3, 0, 2, 1, 4)",50.118203309692674,97.74730656219393,60.40554962646745,94.81369587109768,99.24357034795764
"(3, 0, 2, 4, 1)",64.39716312056737,99.80411361410383,87.99359658484525,91.38972809667673,97.17599596570852
"(3, 0, 4, 1, 2)",28.13238770685579,96.66993143976494,99.89327641408751,48.28801611278953,47.755925365607666
"(3, 0, 4, 2, 1)",45.248226950354606,99.70617042115573,98.98612593383137,79.10372608257805,87.94755421079174
"(3, 1, 0, 2, 4)",44.53900709219858,95.73947110675807,84.95197438633939,94.46122860020141,99.3948562783661
"(3, 1, 0, 4, 2)",34.326241134751776,97.30656219392752,99.94663820704376,82.88016112789526,75.34039334341907
"(3, 1, 2, 0, 4)",86.71394799054373,95.88638589618022,63.28708644610459,95.46827794561933,99.34442763489662
