sequence,Task1,Task2,Task3,Task4,Task5
"(2, 4, 3, 0, 1)",99.66903073286052,99.70617042115573,97.5453575240128,98.94259818731118,98.3862834089763
"(2, 4, 3, 1, 0)",99.95271867612293,99.06953966699314,96.53148345784419,98.99295065458207,98.43671205244578
"(3, 0, 1, 2, 4)",97.82505910165484,99.26542605288932,97.33191035218783,97.98590130916415,99.54614220877458
"(3, 0, 1, 4, 2)",98.43971631205673,99.85308521057786,99.89327641408751,97.68378650553878,96.2178517397882
"(3, 0, 2, 1, 4)",97.21040189125296,99.26542605288932,96.85165421558165,98.03625377643505,99.29399899142713
"(3, 0, 2, 4, 1)",99.33806146572104,99.85308521057786,98.71931696905015,97.58308157099698,97.78113968734242
"(3, 0, 4, 1, 2)",98.3451536643026,99.70617042115573,99.89327641408751,95.61933534743203,94.35199193141705
"(3, 0, 4, 2, 1)",98.81796690307328,99.85308521057786,99.30629669156883,97.58308157099698,97.57942511346445
"(3, 1, 0, 2, 4)",97.11583924349881,99.26542605288932,96.4247598719317,98.28801611278952,99.34442763489662
"(3, 1, 0, 4, 2)",99.00709219858156,99.26542605288932,99.83991462113127,97.33131923464249,96.26828038325769
"(3, 1, 2, 0, 4)",97.54137115839244,99.0205680705191,95.46424759871931,98.53977844914401,99.29399899142713
"(3, 1, 2, 4, 0)",99.95271867612293,97.11067580803135,96.95837780149412,98.84189325276938,98.53756933938477
"(3, 1, 4, 0, 2)",98.95981087470449,99.31439764936337,99.89327641408751,98.18731117824774,95.86485123550176
"(3, 1, 4, 2, 0)",99.90543735224587,98.4818805093046,99.03948772678763,98.99295065458207,97.78113968734242
"(3, 2, 0, 1, 4)",97.91962174940899,99.31439764936337,95.67769477054429,98.28801611278952,99.59657085224407
"(3, 2, 0, 4, 1)",99.24349881796691,99.70617042115573,98.71931696905015,97.88519637462235,97.52899646999495
"(3, 2, 1, 0, 4)",97.25768321513003,99.21645445641528,93.06296691568836,99.04330312185297,99.4957135653051
"(3, 2, 1, 4, 0)",99.95271867612293,97.55142017629775,97.1718249733191,98.99295065458207,98.68885526979324
