sequence,Task1,Task2,Task3,Task4,Task5
"(3, 1, 4, 0, 2)",93.30312185297079,98.53085210577865,94.95713565305093,98.95981087470449,99.94663820704376
"(3, 1, 4, 2, 0)",96.37462235649546,97.84524975514202,96.87342410489158,97.97225186766275,99.95271867612293
"(3, 2, 0, 1, 4)",95.7703927492447,92.31590181430096,97.58865248226951,98.87365328109696,99.3948562783661
"(3, 2, 0, 4, 1)",96.12286002014099,96.4247598719317,99.00709219858156,98.84014120020171,99.70617042115573
"(3, 2, 1, 0, 4)",95.41792547834844,90.82177161152615,98.77571008814887,99.38534278959811,99.3948562783661
"(3, 2, 1, 4, 0)",96.87814702920443,95.03735325506938,98.4818805093046,99.14271306101865,99.95271867612293
"(3, 2, 4, 0, 1)",95.26686807653574,97.06510138740661,97.17599596570852,99.62174940898345,99.80411361410383
"(3, 2, 4, 1, 0)",97.23061430010071,92.26254002134472,98.08371154815936,98.77571008814887,99.90543735224587
"(3, 4, 0, 1, 2)",90.73514602215509,91.83055975794251,98.43971631205673,99.51028403525955,100.0
"(3, 4, 0, 2, 1)",92.95065458207452,95.51185073121533,98.95981087470449,99.51974386339381,99.65719882468169
"(3, 4, 1, 0, 2)",95.72004028197382,94.55370650529501,99.16748285994123,99.52718676122932,99.94663820704376
"(3, 4, 1, 2, 0)",97.33131923464249,94.65456379223399,98.43290891283056,98.61259338313768,99.8581560283688
"(3, 4, 2, 0, 1)",95.7703927492447,95.05799293998992,98.61259338313768,99.47990543735224,99.80411361410383
"(3, 4, 2, 1, 0)",96.47532729103726,95.00756429652043,97.65208110992529,98.43290891283056,99.90543735224587
"(4, 0, 1, 2, 3)",93.69641956631366,98.62884160756501,97.89422135161607,98.71931696905015,99.8992950654582
"(4, 0, 1, 3, 2)",87.09026727181039,98.72340425531915,98.72673849167482,98.18731117824774,99.94663820704376
"(4, 0, 2, 1, 3)",93.34341906202724,98.62884160756501,97.1718249733191,97.79627815866797,99.79859013091641
"(4, 0, 2, 3, 1)",93.54513363590519,98.86524822695036,98.55923159018143,98.13695871097684,99.70617042115573
"(4, 0, 3, 1, 2)",86.9894099848714,98.53427895981088,96.0221550855992,99.4613124387855,99.83991462113127
"(4, 0, 3, 2, 1)",91.37670196671709,98.67612293144208,97.18026183282981,99.35965848452508,99.70617042115573
"(4, 1, 0, 2, 3)",93.84770549672214,97.0617042115573,99.00709219858156,98.82604055496265,99.8992950654582
"(4, 1, 0, 3, 2)",91.22541603630863,98.43290891283056,99.38534278959811,98.48942598187311,99.78655282817503
"(4, 1, 2, 0, 3)",94.6041351487645,95.88638589618022,97.11846318036287,99.57446808510639,99.74823766364553
"(4, 1, 2, 3, 0)",94.50327786182552,96.08227228207639,97.75880469583778,99.59718026183283,99.81087470449172
"(4, 1, 3, 0, 2)",87.09026727181039,97.84524975514202,97.23061430010071,99.38534278959811,99.83991462113127
"(4, 1, 3, 2, 0)",92.9904185577408,97.64936336924583,98.99295065458207,98.45250800426895,99.8581560283688
"(4, 2, 0, 1, 3)",94.20070600100857,95.89114194236926,99.14893617021276,98.33496571988246,99.59718026183283
"(4, 2, 0, 3, 1)",93.19213313161876,97.1718249733191,99.33806146572104,98.08660624370594,99.75514201762978
"(4, 2, 1, 0, 3)",93.59556227937469,96.4247598719317,96.47404505386875,99.29078014184397,99.74823766364553
"(4, 2, 1, 3, 0)",94.75542107917298,96.37139807897546,97.94319294809011,99.34541792547834,99.90543735224587
"(4, 2, 3, 0, 1)",94.45284921835602,97.91889007470651,98.43907351460221,99.38534278959811,99.55925563173359
"(4, 2, 3, 1, 0)",94.45284921835602,95.46424759871931,98.94259818731118,98.92262487757101,99.81087470449172
"(4, 3, 0, 1, 2)",88.04841149773071,95.11581067472306,98.53427895981088,99.36336924583742,99.94663820704376
"(4, 3, 0, 2, 1)",91.72970247100353,96.87814702920443,99.14893617021276,99.51974386339381,99.65719882468169
"(4, 3, 1, 0, 2)",89.10741301059001,95.31722054380664,99.26542605288932,99.47990543735224,99.83991462113127
"(4, 3, 1, 2, 0)",94.85627836611195,97.63343403826788,98.38393731635651,98.18569903948773,99.90543735224587
"(4, 3, 2, 0, 1)",94.70499243570347,97.23061430010071,98.45250800426895,99.38534278959811,99.60822722820764
"(4, 3, 2, 1, 0)",93.24256177508825,98.23766364551864,98.2924226254002,98.92262487757101,99.90543735224587
