sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 2, 1, 3, 4)",98.83333333333333,85.16666666666667,68.16666666666667,66.66666666666667,21.0,67.96666666666667,123.33992719650269
"(3, 4, 2, 1, 0)",97.83333333333333,96.83333333333333,35.166666666666664,59.333333333333336,63.166666666666664,70.46666666666667,122.66445088386536
"(3, 4, 1, 2, 0)",97.83333333333333,96.83333333333333,35.166666666666664,59.333333333333336,63.166666666666664,70.46666666666667,122.66445088386536
"(4, 3, 2, 1, 0)",97.83333333333333,96.83333333333333,35.166666666666664,59.333333333333336,63.166666666666664,70.46666666666667,122.66445088386536
"(4, 3, 1, 2, 0)",97.83333333333333,96.83333333333333,35.166666666666664,59.333333333333336,63.166666666666664,70.46666666666667,122.66445088386536
"(1, 4, 2, 3, 0)",96.66666666666667,84.83333333333333,52.666666666666664,91.33333333333333,72.66666666666667,79.63333333333334,128.29139018058777
"(1, 4, 3, 2, 0)",96.66666666666667,84.83333333333333,52.666666666666664,91.33333333333333,72.66666666666667,79.63333333333334,128.29139018058777
"(4, 1, 2, 3, 0)",96.66666666666667,84.83333333333333,52.666666666666664,91.33333333333333,72.66666666666667,79.63333333333334,128.29139018058777
"(4, 1, 3, 2, 0)",96.66666666666667,84.83333333333333,52.666666666666664,91.33333333333333,72.66666666666667,79.63333333333334,128.29139018058777
"(4, 0, 2, 3, 1)",89.66666666666667,99.83333333333333,27.166666666666668,86.5,63.833333333333336,73.39999999999999,127.52293825149536
"(4, 0, 3, 2, 1)",89.66666666666667,99.83333333333333,27.166666666666668,86.5,63.833333333333336,73.39999999999999,127.52293825149536
"(0, 4, 2, 3, 1)",89.66666666666667,99.83333333333333,27.166666666666668,86.5,63.833333333333336,73.39999999999999,127.52293825149536
"(0, 4, 3, 2, 1)",89.66666666666667,99.83333333333333,27.166666666666668,86.5,63.833333333333336,73.39999999999999,127.52293825149536
